WBGeneID,intestine_dev_cluster
WBGene00018971,Post-embryonic
WBGene00019003,Adult
WBGene00019060,Embryonic
WBGene00019061,Post-embryonic
WBGene00019097,Adult
WBGene00019102,Embryonic
WBGene00019105,Post-embryonic
WBGene00019164,Post-embryonic
WBGene00019168,Post-embryonic
WBGene00019203,Adult
WBGene00019209,Embryonic
WBGene00019227,Embryonic
WBGene00019261,Post-embryonic
WBGene00019298,L1
WBGene00019320,Embryonic
WBGene00019322,Post-embryonic
WBGene00019344,Embryonic
WBGene00019351,Adult
WBGene00019373,Embryonic
WBGene00019381,Embryonic
WBGene00019433,Post-embryonic
WBGene00019435,Embryonic
WBGene00019456,Embryonic
WBGene00019477,Embryonic
WBGene00019492,Post-embryonic
WBGene00019543,Post-embryonic
WBGene00019572,Post-embryonic
WBGene00019605,Post-embryonic
WBGene00019607,Adult
WBGene00019620,Post-embryonic
WBGene00019644,Embryonic
WBGene00019673,Adult
WBGene00019680,Embryonic
WBGene00019682,Post-embryonic
WBGene00019711,Adult
WBGene00019738,Post-embryonic
WBGene00019744,Post-embryonic
WBGene00019760,Embryonic
WBGene00019779,L1
WBGene00019813,Embryonic
WBGene00019824,Adult
WBGene00019830,Post-embryonic
WBGene00019892,Embryonic
WBGene00019900,Post-embryonic
WBGene00019902,Embryonic
WBGene00019904,Embryonic
WBGene00019914,Post-embryonic
WBGene00044107,Embryonic
WBGene00044305,Adult
WBGene00044607,Post-embryonic
WBGene00044696,Post-embryonic
WBGene00044737,Post-embryonic
WBGene00044792,Embryonic
WBGene00077559,Embryonic
WBGene00000155,Post-embryonic
WBGene00000163,Adult
WBGene00000184,Embryonic
WBGene00000215,Post-embryonic
WBGene00000217,Post-embryonic
WBGene00000377,L1
WBGene00000378,Post-embryonic
WBGene00000390,Embryonic
WBGene00000502,Adult
WBGene00000691,L1
WBGene00000776,Adult
WBGene00000785,Post-embryonic
WBGene00000858,Embryonic
WBGene00000984,Embryonic
WBGene00000993,Post-embryonic
WBGene00001040,Adult
WBGene00001058,Post-embryonic
WBGene00001227,Post-embryonic
WBGene00001394,Post-embryonic
WBGene00001395,Post-embryonic
WBGene00001396,Adult
WBGene00001497,Post-embryonic
WBGene00001577,Embryonic
WBGene00001749,Post-embryonic
WBGene00001761,Post-embryonic
WBGene00001808,Embryonic
WBGene00001843,Post-embryonic
WBGene00001993,Post-embryonic
WBGene00002001,Post-embryonic
WBGene00002015,L1
WBGene00002020,L1
WBGene00002116,Post-embryonic
WBGene00002137,Embryonic
WBGene00002138,Embryonic
WBGene00002183,Post-embryonic
WBGene00002187,Embryonic
WBGene00002259,Post-embryonic
WBGene00002273,Post-embryonic
WBGene00002804,Post-embryonic
WBGene00003474,Post-embryonic
WBGene00003596,L1
WBGene00003975,Embryonic
WBGene00003989,Adult
WBGene00004023,Post-embryonic
WBGene00004138,Embryonic
WBGene00004184,Embryonic
WBGene00004199,Adult
WBGene00004271,Embryonic
WBGene00004464,Adult
WBGene00004474,Post-embryonic
WBGene00004485,Embryonic
WBGene00004986,Post-embryonic
WBGene00004988,Post-embryonic
WBGene00004989,Post-embryonic
WBGene00004990,Post-embryonic
WBGene00006910,Embryonic
WBGene00006911,Embryonic
WBGene00006931,Adult
WBGene00011119,Post-embryonic
WBGene00011181,Post-embryonic
WBGene00011205,Adult
WBGene00011222,Post-embryonic
WBGene00011235,Post-embryonic
WBGene00011247,Embryonic
WBGene00011250,Adult
WBGene00011274,Post-embryonic
WBGene00011303,Embryonic
WBGene00011309,Embryonic
WBGene00011313,Embryonic
WBGene00011319,Adult
WBGene00011330,Post-embryonic
WBGene00011335,Embryonic
WBGene00011399,Adult
WBGene00011404,Embryonic
WBGene00011427,Embryonic
WBGene00011439,Embryonic
WBGene00011444,Embryonic
WBGene00011487,Post-embryonic
WBGene00011543,Post-embryonic
WBGene00011559,Post-embryonic
WBGene00011564,Embryonic
WBGene00011571,Post-embryonic
WBGene00011584,Post-embryonic
WBGene00011625,Adult
WBGene00011661,Embryonic
WBGene00011707,Embryonic
WBGene00011730,L1
WBGene00011733,Post-embryonic
WBGene00011740,Embryonic
WBGene00011743,Adult
WBGene00011767,Embryonic
WBGene00011801,L1
WBGene00011850,L1
WBGene00011856,Post-embryonic
WBGene00011869,L1
WBGene00011912,Adult
WBGene00011917,Embryonic
WBGene00011936,Post-embryonic
WBGene00011962,Embryonic
WBGene00011966,Embryonic
WBGene00011976,Adult
WBGene00011979,Post-embryonic
WBGene00012000,Embryonic
WBGene00012037,Post-embryonic
WBGene00012059,Adult
WBGene00012113,Embryonic
WBGene00012122,Embryonic
WBGene00012144,Embryonic
WBGene00012149,Adult
WBGene00012185,Adult
WBGene00012193,Embryonic
WBGene00012221,Embryonic
WBGene00012243,Adult
WBGene00012251,Post-embryonic
WBGene00012253,Post-embryonic
WBGene00012258,L1
WBGene00012316,Post-embryonic
WBGene00012326,Embryonic
WBGene00012339,Post-embryonic
WBGene00012354,Post-embryonic
WBGene00012361,Post-embryonic
WBGene00012369,Embryonic
WBGene00012434,Embryonic
WBGene00012436,Embryonic
WBGene00012462,Post-embryonic
WBGene00013654,Post-embryonic
WBGene00013693,Embryonic
WBGene00013716,Embryonic
WBGene00013761,Embryonic
WBGene00013805,Embryonic
WBGene00019937,Embryonic
