 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
139,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_10_R3D.tif:worm10:1,967.964,503.966,275,2077,487821.017,42465175.000
140,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_10_R3D.tif:worm10:2,967.964,121.546,108,204,117652.594,10241744.000
141,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_09_R3D.tif:background09:1,25.376,138.677,129,155,3519.063,306337.000
142,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_09_R3D.tif:background09:2,25.376,110.579,107,118,2806.065,244270.000
143,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_09_R3D.tif:background09:1,25.376,147.113,133,168,3733.134,324972.000
144,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_09_R3D.tif:background09:2,25.376,110.536,107,119,2804.962,244174.000
145,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_09_R3D.tif:background09:1,25.376,142.011,127,161,3603.680,313703.000
146,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_09_R3D.tif:background09:2,25.376,109.541,106,116,2779.713,241976.000
147,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_09_R3D.tif:background09:1,25.376,147.784,132,173,3750.158,326454.000
148,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_09_R3D.tif:background09:2,25.376,110.666,107,121,2808.271,244462.000
149,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_09_R3D.tif:worm09:1,880.601,533.182,327,1225,469520.699,40872119.000
150,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_09_R3D.tif:worm09:2,880.601,116.459,109,148,102553.731,8927377.000
151,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_07_R3D.tif:background09:1,25.376,141.370,130,159,3587.402,312286.000
152,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_07_R3D.tif:background09:2,25.376,110.468,107,116,2803.228,244023.000
153,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_07_R3D.tif:background09:1,25.376,136.373,127,154,3460.603,301248.000
154,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_07_R3D.tif:background09:2,25.376,110.585,107,116,2806.214,244283.000
155,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_07_R3D.tif:background09:1,25.376,134.280,126,148,3407.496,296625.000
156,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_07_R3D.tif:background09:2,25.376,110.304,106,116,2799.081,243662.000
