 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
688,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm03_C3,28.719,118.594,114,127,3405.899,296486.000
689,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm03_C3,28.719,129.314,120,146,3713.754,323285.000
690,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm03_C3,28.719,121.215,115,138,3481.166,303038.000
691,04_ELT2ELT7rnai:intestine:MAX_CEBP1gfp_ELT2ELT7rnai_Worm04_C1,1151.662,116.963,106,158,134701.457,11725860.000
692,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm04_C1,28.719,105.476,102,112,3029.142,263689.000
693,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm04_C1,28.719,110.854,104,133,3183.603,277135.000
694,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm04_C1,28.719,105.039,101,111,3016.609,262598.000
695,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm04_C1,28.719,104.868,102,112,3011.681,262169.000
696,04_ELT2ELT7rnai:intestine:MAX_CEBP1gfp_ELT2ELT7rnai_Worm04_C2,1151.662,437.203,267,1684,503510.237,43830933.000
697,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm04_C2,28.719,154.391,138,169,4433.932,385977.000
698,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm04_C2,28.719,243.874,195,328,7003.778,609684.000
699,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm04_C2,28.719,166.658,149,187,4786.232,416645.000
700,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm04_C2,28.719,149.880,135,167,4304.387,374700.000
701,04_ELT2ELT7rnai:intestine:MAX_CEBP1gfp_ELT2ELT7rnai_Worm04_C3,1151.662,480.397,187,4095,553255.449,48161290.000
702,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm04_C3,28.719,121.902,116,131,3500.890,304755.000
