WBGeneID,SYMBOL,elt2_detected_in_L1,dineen_set,cluster.description,bound_class
WBGene00008774,F13H10.3,Direct,SET3,Increasing,ClassB
WBGene00008774,F13H10.3,Direct,SET3,Increasing,ClassB
WBGene00008777,F13H10.6,Indirect,SET1,Not_Bound,NA
WBGene00008779,F14B4.1,Direct,SET2,Increasing,ClassD
WBGene00008779,F14B4.1,Direct,SET2,Larval,ClassD
WBGene00008780,hxk-1,Direct,SET2,Increasing,ClassD
WBGene00008780,hxk-1,Direct,SET2,Increasing,ClassD
WBGene00008780,hxk-1,Direct,SET2,Increasing,ClassD
WBGene00008793,F14D7.6,Direct,SET6,Increasing,ClassA
WBGene00008826,fbxa-100,Indirect,SET2,Not_Bound,NA
WBGene00008831,F14H3.12,Direct,SET1,Larval,ClassD
WBGene00008841,F15A4.6,Indirect,SET1,Not_Bound,NA
WBGene00008848,inft-2,Direct,SET2,Increasing,ClassC
WBGene00008848,inft-2,Direct,SET2,L3_High,ClassC
WBGene00008849,try-10,Direct,SET2,Increasing,ClassC
WBGene00008849,try-10,Direct,SET2,Larval,ClassC
WBGene00008850,F15B9.6,Indirect,SET2,Not_Bound,NA
WBGene00008861,F15D4.4,Indirect,SET2,Not_Bound,NA
WBGene00008874,F15H10.7,Indirect,SET2,Larval,NA
WBGene00008877,rtcb-1,Indirect,SET2,Not_Bound,NA
WBGene00008891,clec-42,Direct,SET3,Larval,ClassC
WBGene00008897,F16H6.7,Indirect,SET6,Not_Bound,NA
WBGene00008900,F16H6.10,Direct,SET6,Increasing,ClassA
WBGene00008905,F17B5.1,Indirect,SET6,Larval,NA
WBGene00008917,F17C11.6,Indirect,SET6,Increasing,NA
WBGene00008922,F17C11.11,Direct,SET2,Larval,ClassD
WBGene00008922,F17C11.11,Direct,SET2,Increasing,ClassD
WBGene00008936,papl-1,Indirect,SET6,Not_Bound,NA
WBGene00008944,F19B2.5,Direct,SET2,Increasing,ClassD
WBGene00008944,F19B2.5,Direct,SET2,Larval,ClassD
WBGene00008944,F19B2.5,Direct,SET2,Increasing,ClassD
WBGene00008945,F19B2.6,Direct,SET3,Larval,ClassB
WBGene00008945,F19B2.6,Direct,SET3,Increasing,ClassB
WBGene00008950,wht-5,Indirect,SET2,Not_Bound,NA
WBGene00008954,F19C6.5,Direct,SET3,L3_High,ClassB
WBGene00008954,F19C6.5,Direct,SET3,Embryo_Specific,ClassB
WBGene00008967,F20B10.3,Indirect,SET2,Not_Bound,NA
WBGene00008968,elli-1,Indirect,SET2,Increasing,NA
WBGene00008978,cutl-3,Indirect,SET6,Not_Bound,NA
WBGene00008988,F20G2.5,Direct,SET1,Larval,ClassD
WBGene00008993,F21A3.3,Indirect,SET6,Not_Bound,NA
WBGene00008995,prde-1,Indirect,SET2,Increasing,NA
WBGene00009008,F21D5.3,Direct,SET2,Increasing,ClassC
WBGene00009008,F21D5.3,Direct,SET2,Increasing,ClassC
WBGene00009030,clec-233,Indirect,SET2,Not_Bound,NA
WBGene00009031,F21H7.5,Indirect,SET2,Not_Bound,NA
WBGene00009035,gfat-2,Indirect,SET2,Not_Bound,NA
WBGene00009054,F22D6.9,Indirect,SET2,L3_High,NA
WBGene00009058,F22E12.1,Indirect,SET2,Not_Bound,NA
WBGene00009059,chw-1,Indirect,SET6,Not_Bound,NA
WBGene00009060,F22E12.3,Indirect,SET6,Not_Bound,NA
WBGene00009061,pals-14,Direct,SET3,Increasing,ClassC
WBGene00009073,delm-1,Indirect,SET2,Not_Bound,NA
WBGene00009077,F23B2.10,Indirect,SET2,Not_Bound,NA
WBGene00009079,F23B12.1,Indirect,SET2,Not_Bound,NA
WBGene00009093,F23H12.3,Direct,SET2,Increasing,ClassC
WBGene00009093,F23H12.3,Direct,SET2,Larval,ClassC
WBGene00009101,F25B3.4,Direct,SET2,Increasing,ClassC
WBGene00009101,F25B3.4,Direct,SET2,Larval,ClassC
WBGene00009102,F25B3.5,Direct,SET2,Larval,ClassC
WBGene00009146,F26C11.1,Indirect,SET6,Increasing,NA
WBGene00009146,F26C11.1,Indirect,SET6,L3_High,NA
WBGene00009162,F26E4.7,Direct,SET2,Increasing,ClassC
WBGene00009166,F26F2.1,Indirect,SET3,Not_Bound,NA
WBGene00009173,prom-1,Indirect,SET2,L3_High,NA
WBGene00009182,F26H11.4,Indirect,SET2,Not_Changing,NA
WBGene00009186,trcs-1,Indirect,SET2,Not_Bound,NA
WBGene00009192,asah-2,Indirect,SET3,Not_Bound,NA
WBGene00009208,F28C6.9,Indirect,SET6,Not_Bound,NA
WBGene00009209,F28C6.10,Indirect,SET1,Not_Bound,NA
WBGene00009216,F28D1.6,Indirect,SET6,Not_Bound,NA
WBGene00009222,fbxa-95,Indirect,SET2,Not_Bound,NA
WBGene00009225,fbxa-94,Indirect,SET2,Not_Bound,NA
WBGene00009226,cyp-37B1,Direct,SET6,Increasing,ClassA
WBGene00009236,F28H7.2,Indirect,SET2,Not_Bound,NA
WBGene00009237,F28H7.3,Direct,SET6,Increasing,ClassA
